# kanazawa-triples.tsv - Japanese medical vocabulary with English + Latin combining form
# source: kt.kanazawa-med.ac.jp/english/2-1.pdf
# columns: reading<TAB>japanese<TAB>english<TAB>latin<TAB>section
め	眼	eye	ophthalm/o, ocul/o	撮影・検査・測定・治療の用語 Terms Describing Imaging, Tests, Measurement and Treatment
どうこう	瞳孔	pupil	cor/e, core/o, pupill/o	撮影・検査・測定・治療の用語 Terms Describing Imaging, Tests, Measurement and Treatment
かくまく	角膜	cornea	kerat/o, corne/o	撮影・検査・測定・治療の用語 Terms Describing Imaging, Tests, Measurement and Treatment
つよまく	強膜	sclera	scler/o	撮影・検査・測定・治療の用語 Terms Describing Imaging, Tests, Measurement and Treatment
こうさい	虹彩	iris	ir/o, irid/o	撮影・検査・測定・治療の用語 Terms Describing Imaging, Tests, Measurement and Treatment
もうまく	網膜	retina	retin/o	撮影・検査・測定・治療の用語 Terms Describing Imaging, Tests, Measurement and Treatment
もうさまたい	毛様体	ciliary body	cycl/o	撮影・検査・測定・治療の用語 Terms Describing Imaging, Tests, Measurement and Treatment
なみだ	涙	tear, tear sac	dacry/o, lacrim/o	撮影・検査・測定・治療の用語 Terms Describing Imaging, Tests, Measurement and Treatment
なみだ	涙嚢	tear, tear sac	dacry/o, lacrim/o	撮影・検査・測定・治療の用語 Terms Describing Imaging, Tests, Measurement and Treatment
けつまく	結膜	conjunctiva	conjunctiv/i, conjunctiv/o	撮影・検査・測定・治療の用語 Terms Describing Imaging, Tests, Measurement and Treatment
がんけん	眼瞼	eyelid	blephar/o	撮影・検査・測定・治療の用語 Terms Describing Imaging, Tests, Measurement and Treatment
みみ	耳	ear	ot/o, aur/o	撮影・検査・測定・治療の用語 Terms Describing Imaging, Tests, Measurement and Treatment
こまく	鼓膜	eardrum	tympan/o	撮影・検査・測定・治療の用語 Terms Describing Imaging, Tests, Measurement and Treatment
しかく	視覚	vision	opt/o	撮影・検査・測定・治療の用語 Terms Describing Imaging, Tests, Measurement and Treatment
しゅよう	腫瘍	tumor	onc/o	撮影・検査・測定・治療の用語 Terms Describing Imaging, Tests, Measurement and Treatment
にく	肉	flesh	sarc/o	撮影・検査・測定・治療の用語 Terms Describing Imaging, Tests, Measurement and Treatment
あたま	頭	head	cephal/o	体の各部分と方向・場所・動きの用語 The Body Regions and Derectional Terms
せ	背	back	dors/o	体の各部分と方向・場所・動きの用語 The Body Regions and Derectional Terms
はら	腹	abdomen	abdomin/o	体の各部分と方向・場所・動きの用語 The Body Regions and Derectional Terms
がわふくぶ	側腹部	flank	lapar/o	体の各部分と方向・場所・動きの用語 The Body Regions and Derectional Terms
ないぞう	内臓		viscer/o	体の各部分と方向・場所・動きの用語 The Body Regions and Derectional Terms
こし	腰	loin	lumb/o	体の各部分と方向・場所・動きの用語 The Body Regions and Derectional Terms
